ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y
1989.6.1,1984,Flight of the Eagle Dancer,Jerry Jaramillo,Mural,Aztlan Rec Center ,,,3139318.565,1708406.09
2011.7.7,2011,The Flying Horse Carries Me Across the Sky,Steven Altman,"Acrylic, graphite and paint skins on panel",Eastside Human Services ,,,3154493.286,1705879.827
2011.7.6,2011,Colorado Prints,Jess E. DuBois,12 fine art prints,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.4.1,2011,Dream Big  Denver,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.4.2,2011,Cubist Roots No Bull,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.4.3,2011,Ya Need Culture Dog,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.4.4,2011,Sweet After Bitter,Carlos Fresquez,mixed media on panel,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.5,2011,Imagination is Key,Guerilla Garden,mural -spray paint and enamel on concrete,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.3,2011,Things that make you smile I-IV,Vincent Juarez,tile mosaic,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.1,2011,Peace Bird,Ray King,dichroic glass,Eastside Human Services ,,,3154493.286,1705879.827
2011.7.2,2011,Up Up and Away,Carol Ann Waugh,Fabric on Panel,Eastside Human Services ,,,3154493.286,1705879.827
2011.8.1,2011,Two Views from Above,Ken Bernstein,Photorealism Murals,Roslyn Administration Building ,,,3168522.526,1715313.941
2011.5.1,2011,Lake Totem,Andrew Dufford,Stone,Sloan's Lake Park Marina ,,,3125976.24,1696828.098
2011.9.1,2011,Sunlight,Adam Frank,Video Projection,Minoru Yasui Building ,,,3142954.806,1694999.346
2011.4.3,2011,Sun Spot,Laura Haddad and Tom Drugan,"Three components: Steel and Stainless pet tags, aluminum",Denver Municipal Animal Shelter ,,,3139888.03,1685761.167
2011.6.1,2011,Twilight Twist,Erick Johnson,stainless steel,Ruby Hill Park ,,,3139339.426,1674745.235
2011.10.1,2011,Virga,Patrick Marold,stainless steel,Delgany Pedestrian Bridge...  roughly,,,3139112.283,1698970.766
2011.11.1,2011,Connections,Robert Pietruzcewski,titanium and steel,Skyline Park ,,,3141467.969,1697464.599
2011.12.1,2011,Rex Morgan Tribute Sculpture,Patrick Marold,stone,DPAC Galleria,,,3140774.454,1696261.104
2012.1.1,2012,Untitled,Bob Zoell,Ceramic tiles,Police: Traffic Operations-,,,3141650.6,1703859.796
2012.2.4,2012,Face the Sun,Kevin Curry,Lexan sheeting, ,,,3128144.011,1706722.78
2006.1.1,2006,ENGI,Tatsuo Miyajima,Digital Installation,Denver Art Museum,Atriumof the Hamilton Building,,3143653.95,1693514.765
2006.7.1,2006,Untitled  Glazed Abstract paintings ,Steve Altman,Acrylic Painting,Colorado Convention Center Hotel Hyatt,,,3142217.786,1696047.975
2006.8.1,2006,Outside,Joseph Kosuth,Stainless Steel and stone,Colorado Convention Center Hotel Hyatt,Circling exterior of hotel,,3142252.028,1696076.511
2006.14.1,2006,Untitled,Gary Huibgrtse,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142331.925,1696139.287
2006.15.1,2006,Untitled,Daniel Perales,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142377.579,1696193.502
2006.16.1,2006,Untitled,Scott Engel,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142414.676,1696219.184
2006.17.1,2006,Untitled,William Wylie,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142440.356,1696247.718
2006.18.1,2006,Untitled,Jeffrey Hirsch,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142480.305,1696281.96
2006.19.1,2006,Untitled,Kevin OConnell ,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142252.028,1695999.467
2006.20.1,2006,Untitled,Steve Fitch,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142274.855,1696030.855
2006.21.1,2006,Untitled,Frank Golhke,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142311.95,1696050.83
2006.22.1,2006,Untitled,Michael Mancarella,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142346.192,1696076.511
2006.24.1,2006,Untitled,Lyn Smith,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142397.554,1696125.019
2006.25.1,2006,Untitled,William Suttom,Video Installation,Colorado Convention Center Hotel Hyatt,Lobby Elevator,,3142443.21,1696159.261
2006.3.1,2006,Channeled Energy Flow,Caspar Henselman,Fiberglass_stone_light  ,Police Department District 2 Northeast,,,3162308.523,1706293.049
2006.2.1,2006,Prairie Dogs and Schoolhouse ,Judith Stewart,Bronze,Green Valley Ranch Recreation Center,,,3205850.695,1711796.288
2006.4.1,2006,Promenade,Ann Weber,Bronze,Skyline Park,,,3141887.688,1697864.824
1970.3.1,1970,The Family,Edgar Britton,Bronze,Denver Health  ,Circle Drive at the Main Entrance,,3142944.132,1690425.562
1971.2.1,1971,Eyes On The Park,Emanuel Martinez,Mural,Curtis-Mestizo Park,,,3147557.855,1702693.338
2006.6.1,2006,Combustion,Joseph McDonnell,Stainless Steel,Parkfield Fire Station ,,,3197867.093,1713926.212
2006.5.1,2006,MLK Plaques,Li Hardison,Bronze,MLK Improvement Project ,,,3159770.981,1702916.176
1994.6.1,1994,Balustrade,Betty Woodman,Ceramic  ,Denver International Airport,,,3231950.326,1736307.195
1994.7.1,1994,Pivot Emblem and Fenceline Artifact,Buster Simpson and Sherry Wiggins,Farm Implements,Denver International Airport,,,3232075.658,1730694.855
1994.8.1,1994,21st Century Artifacts,Carolyn Braaksma and Mark Villarrea,Bronze and terrazzo,Denver International Airport,,,3232037.131,1735178.721
1907.2.1,1907,National Humane Alliance Fountain,Unknown,Granite and Bronze,Colfax and Tremont street,,,3142517.828,1694904.945
1995.10.1,1995,The Evolution of the Ball,Lonnie Hanzon,Ceramic and Steel,Coors Field West Entrance,Wynkoop St and 20th Ave,,3141619.85,1700463.152
1995.11.1,1995,Bottom of the Ninth,Erick  Johnson,Neon,Coors Field Sandlot Brewery ,Blake St and 22nd,,3142680.164,1700712.751
1997.9.1,1997,Sign Post,Sara Jane Maclennan,Bronze Plaques,17th St Sidewalks from Larimer to Broadway,,,3141722.656,1698521.633
2004.13.1,2004,Cottonwood Leaf ,Andrew  Dufford,African Granite and bronze,Confluence Park,,,3138512.389,1700138.187
2009.1.1,2008,Global Rhythms,Bill & Mary  Buchen,Stainless Steel,Green Valley Ranch Park,Near Elementary School,,3211791.092,1707178.856
2009.10.1,2009,Imaginary Space and Time Tunnels,Alice  Aycock,Painted Aluminum,Montbello Recreation Center Exterior,,,3195044.07,1714216.314
2009.4.1,2009,Avian Front,Patrick  Marold,Recycled Steel ,Denver Zoo/City Park,southwest corner near duck pond,,3153298.86,1697889.965
2009.5.1,2009,Leaves of Grass,Tyler  Aiello,Steel,Red Rocks Park,,,3082534.866,1667196.854
2009.7.1,2009,Garden Stories,Lars Stanley,Painted Steel,Greenway Park/ Donated by DURA Stapleton,Denver Urban Gardens site,,3169619.495,1698884.335
2009.8.1,2009,Untitled,Anthony  Magar,Painted Steel,"Burns Park, Donation from Suzanne Joshel",western corner of park,,3157433.134,1685401.774
2010.1.1,2010,Dream Green,Kathy Bradford,Glass,Willis Case Golf Course,,,3127300.733,1712192.089
2010.11.1,2010,Red Forest,Constantine Dimopoulos,,Millenium Bridge: North Side,,,3139398.762,1700119.172
2010.13.1,2010,Untitled,Barnum Robert,Acrylic on Canvas,Murals in City and County Bldg. (council chambers),,,3143119.239,1694511.861
2010.15.1,2010,Reconciliation Bench,Tully Robert,Stone,Westwood Childcare Facility,,,3131140.558,1679726.869
2010.2.1,2010,1.26,Janet Echelman,Hand-knotted fibe and /Spectra Fiber,Temporary Project:  Civic Center Park to DAM,,,3143678.935,1694062.417
2010.3.1,2010,Untitled  Glass Canopy,Martin   Donlin and  Peter Kaufmann,Glass and steel,Justice Center - Post Office,,,3142311.058,1694212.092
